,0
278,12733.89319307589
279,9781.68738095238
280,5128.483333333334
281,13483.823142857147
282,10199.280666666667
283,13500.490871212118
284,17095.86638095238
285,14103.706836593963
286,12928.872888888887
287,13318.468772727272
288,9290.297214285714
289,7055.606523809525
290,14629.761638500393
291,6101.582908730159
292,7888.347785714286
293,7385.380476190479
294,14042.174795204792
295,14032.44069047619
296,15525.322303534704
297,8176.6075
298,6199.925327443797
299,6863.4923809523825
300,9034.441632610939
301,5947.951
302,16670.150705128202
303,19345.630571428574
304,18068.756666666668
305,11976.321075396827
306,10555.29
307,4344.678
308,6919.612334203806
309,16083.924444444445
310,11560.097142857143
311,12148.574506338353
312,8221.222166666666
313,10307.441584424936
314,11461.535869047619
315,9862.719666666666
316,11600.779833333334
317,7660.5986545954065
318,16688.784072344322
319,18971.36319047619
320,3069.1642698412697
321,12163.568952380949
322,16248.039999999997
323,7367.663273809522
324,12644.14114285714
325,17007.47169336219
326,15204.984944444446
327,6340.15
328,13780.071333333333
329,9575.7775
330,12235.81084090909
331,20110.935261904764
332,10844.375706349207
333,17097.425904761905
334,10281.313801587301
335,14572.5
336,15676.643285714286
337,4164.674
338,14081.398776487209
339,14902.438973443224
340,16480.700357142858
341,13880.552973581976
342,5690.938409451657
343,16821.758678571427
344,14479.220142857144
345,12338.399166666668
346,11889.812321428577
347,13314.038335497838
348,5922.905393939393
349,18518.461071428574
350,12646.155
351,7128.057833333332
352,15326.785023809527
353,19014.396666666667
354,14884.822833333332
355,7132.252071789323
356,18246.148571428574
357,15771.280597680096
358,12635.788056842257
359,13497.849894664741
360,12299.796803151847
361,14834.500761904761
362,6800.288714285715
363,16814.368505602244
364,2548.73
365,15217.739180999557
366,12661.94
367,12520.076873737371
368,14624.498166666668
369,14734.691492313246
370,11833.945753315307
371,17658.482489495796
372,11484.686099206352
373,6906.819833333334
374,14333.387071184696
375,10410.647619047619
376,602.9183333333333
377,1363.99
378,11462.658895854147
379,13028.061333333333
380,14438.706928571431
381,4210.138333333333
382,11742.29338095238
383,5359.269821428572
384,12925.193452380954
385,14997.666273074963
386,13477.187333333331
387,6014.455340562501
388,14957.05581200744
389,13414.057190476193
390,5771.650238095237
391,3741.9706731601727
392,6948.195976190477
393,14579.235058482323
394,17350.182226190478
395,11112.732253968255
396,2511.603714285715
397,9042.696666666667
398,5140.6075
399,11404.25
400,16696.57533333333
401,7863.838999999999
402,14947.477460664342
403,9076.884166666667
404,6890.926523809525
405,8157.003166666666
406,9086.847738095239
407,8563.18
408,14938.347545454546
409,3868.719809523809
410,13583.97629437229
411,13923.670214285716
412,10339.564892857145
413,11832.891666666668
414,16641.9055
415,4663.263148656898
416,14685.057102564106
417,6519.738166666668
418,14454.342333333332
419,5332.401309523808
420,17396.03
421,11450.915436507934
422,11840.85
423,14267.789403123921
424,15369.960666666666
425,10761.879150793648
426,15078.06921789322
427,10108.804015151514
428,11853.800674603172
429,16520.31
430,6509.854526029525
431,18195.75590630203
432,12913.732428571433
433,9230.404648268399
434,13251.787761904765
435,10254.549424963927
436,1343.35
437,15465.141607142858
438,13239.520297619049
439,17711.177976190476
440,15712.450916666665
441,14140.559378427128
442,10264.286
443,3810.3020476190472
444,8037.878500000001
445,14557.125063492065
446,5869.096666666667
447,13118.311061257571
448,15817.233333333335
449,10127.964916666666
450,17883.109190476196
451,8240.92
452,13397.19220634921
453,17640.99875
454,11870.269166666665
455,11519.251293650796
456,14490.681666666667
457,12567.17771428571
458,8855.31157142857
459,6167.6786666666685
460,4112.013333333333
461,13618.48164296814
462,4303.498
463,10575.044654761907
464,13926.971979131982
465,12989.190749999998
466,12347.621666666666
467,8029.4259999999995
468,13999.950906288159
469,5668.469880952381
470,11534.25719047619
471,6506.990166666667
472,11206.720845238096
473,7146.574285714287
474,17411.174738095237
475,7575.288606782106
476,7926.283
477,12420.911333333335
478,13621.226999999999
479,13598.225742063494
480,16646.06192857143
481,8716.473365079366
482,12969.11552777778
483,13384.55684523809
484,8565.935
485,12527.782257936515
486,4932.708083333334
487,16726.924380952376
488,11863.218761904762
489,11839.491863777268
490,13123.818865079367
491,14352.868955266953
492,5750.015555555557
493,12186.284099927847
494,13260.391166666666
495,9622.124666666667
496,14312.020142857145
497,6116.055781746032
498,7465.315
499,12820.782733875969
500,9722.41496533287
501,7852.739928571429
502,2709.0426666666667
503,7618.881079365079
504,4441.974
505,12439.823666666667
506,8485.021274725274
507,14501.029214285712
508,13517.713448321287
509,15482.734166666665
510,16221.614166666668
511,15084.310023809523
512,17406.62625
513,7158.199047619046
514,11511.610857142858
515,15238.401988095238
516,16753.46838095238
517,7022.788547619046
518,7532.219634310134
519,16506.449650605846
520,12632.593906565658
521,7061.742211149843
522,15261.5172691165
523,10399.157863095237
524,2095.5533333333333
525,7237.818741702744
526,10192.13486111111
527,15777.57245670996
528,12105.794000000002
529,11007.917857142857
530,14170.012250000002
531,17352.712
532,16427.88383591408
533,12550.812230880232
534,12342.277333333337
535,10900.094552689572
536,11802.375500000002
537,16925.84001965012
538,13826.498666666666
539,2197.1
540,9462.352676406928
541,5759.846666666667
542,2326.770333333333
543,5687.570647727272
544,15933.491547619049
545,15985.407166666668
546,664.2468333333334
547,11320.80058072483
548,17767.856666666667
549,10683.85585053151
550,11467.954690906823
551,7028.526333333334
552,16496.721999999998
553,14133.068735323777
554,14547.797874819627
555,5802.072261793763
556,6578.141583333332
557,2687.3033333333337
558,6602.836285714286
559,10167.095571428568
560,15260.197999999999
561,14225.814067460322
562,17478.888857142854
563,13663.432691381335
564,15069.966726190476
565,12322.0895
566,14431.791327905157
567,6758.173392857143
568,16378.394166666667
569,14837.875234960557
570,15311.0375
571,13724.962880952384
572,15178.062456404708
573,11397.078333333333
574,15729.699727994224
575,13892.394999999995
576,2720.785523809524
577,17290.044865079362
578,13065.540285714285
579,7341.705295454545
580,6683.186904761907
581,14661.205333333335
582,14487.34496031746
583,8105.915500000002
584,12336.925149350649
585,15240.653928571428
586,15749.62
587,15440.917207792205
588,16058.122
589,9381.291333333333
590,13277.608716368599
591,15643.966273185146
592,14927.884465092728
593,12447.626
594,12802.6
595,11271.321965367963
596,7705.623111111111
597,758.3733333333334
598,13673.61
599,12673.748690769793
600,17107.95142857143
601,13880.552973581976
602,13479.049420561723
603,15490.49011538402
604,13173.849441058941
605,11030.425833333333
606,1871.0793333333331
607,6879.454030303031
608,9160.581238095236
609,16583.097166666666
610,11789.20066666667
611,9991.861609307358
612,10343.075496392497
613,10283.745623376622
614,10657.711081472493
615,14255.769432900437
616,12957.827485569986
617,10612.680666666667
618,12066.238654761908
619,12424.032166666668
620,13089.602633439563
621,16045.660984848484
622,14573.194761904762
623,10567.317023809524
624,11702.433711402162
625,7338.594666666668
626,17639.609336080586
627,6650.785035301302
628,10062.291253968255
629,7077.501387584638
630,12596.426837301586
631,14143.310380952384
632,3076.5115
633,11616.08611904762
634,14244.385837662336
635,10027.724793875963
636,9922.014152103786
637,10785.243333333336
638,13325.993119769124
639,6991.87683369408
640,15780.656761904764
641,4862.825
642,12708.942506498615
643,15317.449031839496
644,3058.690833333333
645,12649.332395715806
646,14671.94922929607
647,14615.908928571429
648,12363.243333333336
649,4860.593857142857
650,12385.623333333333
651,11381.151059523807
652,12432.022682539677
653,11238.111333333332
654,10138.788547619044
655,8474.062333333335
656,15935.418333333335
657,6401.343928571429
658,6094.51
659,18557.0335
660,13536.843460842534
661,10509.922557109554
662,18612.449238095243
663,14600.270047619048
664,14099.106009329036
665,539.6975
666,17290.044865079362
667,7052.235833333332
668,16548.282420634918
669,13946.609009240756
670,7116.692249744539
671,13170.310030303031
672,5529.340002969253
673,11645.764333333333
674,13694.42442723943
675,7214.872833333333
676,4512.055666666666
677,10333.25355952381
678,9707.518047619047
679,11500.97292857143
680,6723.109274420022
681,16932.56683333333
682,3527.8004166666665
683,11719.357500000002
684,17352.963499999998
685,15879.466452380955
686,13074.252618068205
687,6265.780500000001
688,15810.22722941628
689,4265.448
690,11839.178047619047
691,18034.467500000006
692,16732.461163475415
693,15757.156465333946
694,15493.297333333334
695,13107.906880952383
696,13249.607059024309
697,12353.250833333335
698,7101.9575
699,2307.875
700,9082.225
701,10754.959690476193
702,10599.208003155394
703,3527.0885411255404
704,13871.637285714287
705,10637.956595238093
706,7628.316301587302
707,13848.592499999995
708,4223.716666666667
709,13898.791477300478
710,9245.258666666667
711,12646.142288600293
712,15707.1272124183
713,13416.671634776601
714,4550.926666666667
715,15565.127309523808
716,11393.552571428569
717,13564.535
718,10944.31339285714
719,9668.678333333333
720,14155.152337301586
721,6598.4725
722,6010.891261124504
723,16765.9675
724,10670.335620296364
725,2352.107857142857
726,12506.03154387443
727,15399.466620593808
728,16516.00626676761
729,11073.924702380953
730,14815.556
731,8699.805933621932
732,14516.29366666667
733,14903.735500617968
734,13756.095
735,10172.563794011545
736,11738.915523809523
737,2429.2685714285712
738,5194.177
739,18154.90124454855
740,6258.575333333332
741,3077.0436666666665
742,15308.874937867695
743,12355.345380952382
744,8289.210166666666
745,10272.207573412701
746,16622.828219780222
747,16191.381779761905
748,2633.7666666666664
749,16450.377563492068
750,7000.4865
751,4152.6645
752,4564.955833333333
753,10330.461311797682
754,12147.480833333333
755,14441.554297619048
756,16827.350142857136
757,10720.455180194806
758,15513.754833333336
759,9450.978797366035
